playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"2495893","null","Brandon Marshall","WR","NYJ","WR","NYJ","null","12.6","null","null","null","8","null","null","0.05","null","null","null","12.6","12.6","null","null",
"2499248","null","Kris Durham","WR","FA","WR","FA","null","0","null","null","null","153","null","null","0","null","null","null","0","0","null","null",
"2499255","null","Richard Gordon","TE","BAL","TE","BAL","null","0","null","null","null","81","null","null","0","null","null","null","0","0","null","null",
"2499277","null","David Ausberry","TE","FA","TE","FA","null","0","null","null","null","81","null","null","0","null","null","null","0","0","null","null",
"2500351","null","Phil Dawson","K","SF","K","SF","null","8","null","null","null","11","null","null","1","null","null","null","8","8","6.1767","null",
"2503471","null","Adam Vinatieri","K","IND","K","IND","null","8","null","null","null","11","null","null","2","null","null","null","8","8","3.5409","null",
"2504162","null","Shayne Graham","K","FA","K","FA","null","0","null","null","null","31","null","null","0","null","null","null","0","0","null","null",
"2504211","null","Tom Brady","QB","NE","QB","NE","null","19.22","null","null","null","7","null","null","1.48","null","null","null","19.22","19.22","null","null",
"2504257","null","Sebastian Janikowski","K","OAK","K","OAK","null","9","null","null","null","7","null","null","0","null","null","null","9","9","5.1883","null",
"2504595","null","Steve Smith","WR","BAL","WR","BAL","null","12.5","null","null","null","10","null","null","0.4","null","null","null","12.5","12.5","4.1423","null",
"2504775","null","Drew Brees","QB","NO","QB","NO","null","21.14","null","null","null","2","null","null","0.94","null","null","null","21.14","21.14","-2.3913","null",
"2504797","null","Matt Bryant","K","ATL","K","ATL","null","2","null","null","null","23","null","null","0","null","null","null","2","2","3.2114","null",
"2504833","null","Shaun Hill","QB","MIN","QB","MIN","null","0.32","null","null","null","39","null","null","0","null","null","null","0.32","0.32","null","null",
"2504941","null","Billy Cundiff","K","FA","K","FA","null","0","null","null","null","31","null","null","0","null","null","null","0","0","null","null",
"2505245","null","Carson Palmer","QB","ARI","QB","ARI","null","14.54","null","null","null","18","null","null","0.63","null","null","null","14.54","14.54","null","null",
"2505299","null","Antonio Gates","TE","SD","TE","SD","null","10.1","null","null","null","4","null","null","0.65","null","null","null","10.1","10.1","4.6643","null",
"2505354","null","Tony Romo","QB","DAL","QB","DAL","null","0.12","null","null","null","56","null","null","0.03","null","null","null","0.12","0.12","null","null",
"2505459","null","Josh Brown","K","FA","K","FA","null","0","null","null","null","31","null","null","0","null","null","null","0","0","null","null",
"2505551","null","Andre Johnson","WR","FA","WR","FA","null","0","null","null","null","153","null","null","0","null","null","null","0","0","null","null",
