playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"2495331","null","Aldrick Robinson","WR","ATL","WR","ATL","null","0.7","null","null","null","114","null","null","0","null","null","null","0.7","0.7","8.2061","null",
"2495340","null","Anthony Sherman","RB","KC","RB","KC","null","0.6","null","null","null","84","null","null","0.1","null","null","null","0.6","0.6","2.2735","null",
"2495341","null","Cecil Shorts","WR","TB","WR","TB","null","8.3","null","null","null","36","null","null","0","null","null","null","8.3","8.3","6.994","null",
"2495353","null","Julius Thomas","TE","JAC","TE","JAC","null","3","null","null","null","27","null","null","0.05","null","null","null","3","3","4.125","null",
"2495438","null","Kyle Rudolph","TE","MIN","TE","MIN","null","3.7","null","null","null","23","null","null","0.25","null","null","null","3.7","3.7","4.5518","null",
"2495441","null","Blaine Gabbert","QB","SF","QB","SF","null","0.2","null","null","null","52","null","null","0","null","null","null","0.2","0.2","null","null",
"2495443","null","Ryan Mallett","QB","BAL","QB","BAL","null","0.42","null","null","null","34","null","null","0.06","null","null","null","0.42","0.42","null","null",
"2495448","null","Randall Cobb","WR","GB","WR","GB","null","12","null","null","null","11","null","null","0.15","null","null","null","12","12","3.9636","null",
"2495449","null","Tandon Doss","WR","FA","WR","FA","null","0","null","null","null","145","null","null","0","null","null","null","0","0","null","null",
"2495450","null","A.J. Green","WR","CIN","WR","CIN","null","15.1","null","null","null","1","null","null","1.45","null","null","null","15.1","15.1","1.5394","null",
"2495454","null","Julio Jones","WR","ATL","WR","ATL","null","9.1","null","null","null","31","null","null","0.15","null","null","null","9.1","9.1","1.2363","null",
"2495455","null","Cam Newton","QB","CAR","QB","CAR","null","15.52","null","null","null","7","null","null","0.39","null","null","null","15.52","15.52","4.6517","null",
"2495459","null","Torrey Smith","WR","SF","WR","SF","null","2.6","null","null","null","89","null","null","0.1","null","null","null","2.6","2.6","null","null",
"2495461","null","Shaun Draughn","RB","SF","RB","SF","null","0","null","null","null","96","null","null","0","null","null","null","0","0","4.5178","null",
"2495466","null","Mark Ingram","RB","NO","RB","NO","null","8.6","null","null","null","24","null","null","0.05","null","null","null","8.6","8.6","3.5827","null",
"2495469","null","Dion Lewis","RB","NE","RB","NE","null","0","null","null","null","96","null","null","0","null","null","null","0","0","null","null",
"2495470","null","Stevan Ridley","RB","ATL","RB","ATL","null","1.5","null","null","null","61","null","null","2.2204e-16","null","null","null","1.5","1.5","null","null",
"2495558","null","Dwayne Bowe","WR","FA","WR","FA","null","0","null","null","null","145","null","null","0","null","null","null","0","0","null","null",
"2495560","null","Ahmad Bradshaw","RB","FA","RB","FA","null","0","null","null","null","96","null","null","0","null","null","null","0","0","null","null",
"2495573","null","Scott Chandler","TE","FA","TE","FA","null","0","null","null","null","77","null","null","0","null","null","null","0","0","null","null",
"2495651","null","Jacoby Jones","WR","FA","WR","FA","null","0","null","null","null","145","null","null","0","null","null","null","0","0","null","null",
"2495660","null","Brian Leonard","RB","FA","RB","FA","null","0","null","null","null","96","null","null","0","null","null","null","0","0","null","null",
"2495663","null","Marshawn Lynch","RB","FA","RB","FA","null","0","null","null","null","96","null","null","0","null","null","null","0","0","null","null",
"2495700","null","Greg Olsen","TE","CAR","TE","CAR","null","12.8","null","null","null","3","null","null","1.45","null","null","null","12.8","12.8","3.1293","null",
"2495748","null","Drew Stanton","QB","ARI","QB","ARI","null","0.56","null","null","null","30","null","null","0.07","null","null","null","0.56","0.56","null","null",
"2495801","null","Miles Austin","WR","FA","WR","FA","null","0","null","null","null","145","null","null","0","null","null","null","0","0","null","null",
"2495802","null","Jason Avant","WR","KC","WR","KC","null","0","null","null","null","145","null","null","0","null","null","null","0","0","null","null",
"2495821","null","Marques Colston","WR","FA","WR","FA","null","0","null","null","null","145","null","null","0","null","null","null","0","0","null","null",
"2495824","null","Jay Cutler","QB","CHI","QB","CHI","null","12.12","null","null","null","23","null","null","0.67","null","null","null","12.12","12.12","7.0548","null",
"2495825","null","Owen Daniels","TE","FA","TE","FA","null","0","null","null","null","77","null","null","0","null","null","null","0","0","null","null",
"2495826","null","Vernon Davis","TE","WAS","TE","WAS","null","7.5","null","null","null","12","null","null","0.3","null","null","null","7.5","7.5","4.4095","null",
"2495835","null","Anthony Fasano","TE","TEN","TE","TEN","null","0.8","null","null","null","47","null","null","0","null","null","null","0.8","0.8","4.9074","null",
"2495838","null","Bruce Gradkowski","QB","PIT","QB","PIT","null","0","null","null","null","58","null","null","0","null","null","null","0","0","null","null",
"2495843","null","Derek Hagan","WR","FA","WR","FA","null","0","null","null","null","145","null","null","0","null","null","null","0","0","null","null",
"2495863","null","Tarvaris Jackson","QB","FA","QB","FA","null","0","null","null","null","58","null","null","0","null","null","null","0","0","null","null",
"2495867","null","Greg Jennings","WR","FA","WR","FA","null","0","null","null","null","145","null","null","0","null","null","null","0","0","null","null",
"2495888","null","Marcedes Lewis","TE","JAC","TE","JAC","null","7.8","null","null","null","11","null","null","0.35","null","null","null","7.8","7.8","5.9031","null",
"2495893","null","Brandon Marshall","WR","NYJ","WR","NYJ","null","6.7","null","null","null","43","null","null","0.05","null","null","null","6.7","6.7","4.1909","null",
"2495966","null","Delanie Walker","TE","TEN","TE","TEN","null","11.6","null","null","null","4","null","null","0.8","null","null","null","11.6","11.6","3.556","null",
"2499248","null","Kris Durham","WR","FA","WR","FA","null","0","null","null","null","145","null","null","0","null","null","null","0","0","null","null",
"2499255","null","Richard Gordon","TE","BAL","TE","BAL","null","0","null","null","null","77","null","null","0","null","null","null","0","0","null","null",
"2499277","null","David Ausberry","TE","FA","TE","FA","null","0","null","null","null","77","null","null","0","null","null","null","0","0","null","null",
