playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"2532903","null","Rishard Matthews","WR","TEN","WR","TEN","null","8.74","null","null","null","46","null","null","0.22","null","null","null","8.74","8.74","4.813","null",
"2532933","null","Brian Quick","WR","LA","WR","LA","null","5.96","null","null","null","81","null","null","0.045","null","null","null","5.96","5.96","6.2605","null",
"2532956","null","Ryan Tannehill","QB","MIA","QB","MIA","null","13.762","null","null","null","27","null","null","0.34","null","null","null","13.762","13.762","3.2293","null",
"2532970","null","Brandon Weeden","QB","HOU","QB","HOU","null","0","null","null","null","65","null","null","0","null","null","null","0","0","null","null",
"2532975","null","Russell Wilson","QB","SEA","QB","SEA","null","18.822","null","null","null","3","null","null","0.376","null","null","null","18.822","18.822","4.5798","null",
"2532977","null","Kendall Wright","WR","TEN","WR","TEN","null","5.25","null","null","null","88","null","null","0.315","null","null","null","5.25","5.25","4.0892","null",
"2532978","null","Jarius Wright","WR","MIN","WR","MIN","null","0.72","null","null","null","142","null","null","0.03","null","null","null","0.72","0.72","null","null",
"2533031","null","Andrew Luck","QB","IND","QB","IND","null","17.418","null","null","null","12","null","null","0.191","null","null","null","17.418","17.418","5.12","null",
"2533033","null","Robert Griffin","QB","CLE","QB","CLE","null","13.342","null","null","null","29","null","null","0.1","null","null","null","13.342","13.342","5.12","null",
"2533034","null","Lamar Miller","RB","HOU","RB","HOU","null","12.71","null","null","null","13","null","null","0.14","null","null","null","12.71","12.71","4.1825","null",
"2533040","null","Mohamed Sanu","WR","ATL","WR","ATL","null","8.15","null","null","null","52","null","null","0.105","null","null","null","8.15","8.15","5.4254","null",
"2533046","null","Dwayne Allen","TE","IND","TE","IND","null","5.25","null","null","null","27","null","null","0.06","null","null","null","5.25","5.25","4.9603","null",
"2533349","null","Austin Davis","QB","DEN","QB","DEN","null","0","null","null","null","65","null","null","0","null","null","null","0","0","null","null",
